claim,evidence,evidence_url,url_status,evidence_domain,reasoning,nli_label,original_credibility,article_source
قطر تقود عملية دبلوماسية لخفض التصعيد.,"كشف مسؤول إسرائيلي بارز، الأحد، أن مصر وقطر وتركيا تقود جهودا دبلوماسية ""سرية"" للتوسط في اتفاق بين الرئيس الأميركي دونالد ترامب وإيران لإنهاء الحرب، وذلك مع اقتراب الموعد النهائي لإنذار أميركي بشأن مضيق هرمز. وقال المسؤول في تصريحات نشرتها صحيفة ""يديعوت أحرونوت"" الإسرائيلية: ""ليس أمام إسرائيل خيار سوى التوافق مع ترامب. نفضل مواصلة الضربات لكننا سنفعل ما يقرره. غدا (الإثنين) سنعرف الوضع عند انتهاء مهلة الإنذار"". وتنتهي الإثنين مهلة مدتها 48 ساعة منحها ترامب لإيران لإعادة فتح مضيق هرمز، مهددا بقصف منشآت الطاقة لديها إن لم تستجب لطلبه، بينما ردت طهران بأنها ستستهدف منشآت الطاقة في المنطقة وستبقي المضيق مغلقا",https://amp.skynewsarabia.com/middle-east/1860012-تقرير-مصر-وقطر-وتركيا-تقود-جهودا-لوقف-حرب-إيران,Active,amp.skynewsarabia.com,الدليل يقدم إشارة إلى أن مصر وقطر وتركيا تقودون جهودًا دبلوماسية سرية، لكنه لا يذكر بشكل واضح أن قطر هي التي تقود العملية. بالإضافة إلى ذلك، الدليل مقتبس من تصريحات مسؤول إسرائيلي بارز وليس مصدرًا مباشرًا لعمليات الدبلوماسية المقترحة.,0,credible,source_101
قطر تقود عملية دبلوماسية لخفض التصعيد.,نقلت صحيفة طهران تايمز عن سعيد خطيب زاده، المتحدث باسم وزارة الخارجية الإيرانية، ترحيب الجمهورية الاسلامية الايرانية بمساعي قطر لإحياء الاتفاق النووي لعام 2015. وقال خطيب زاده في مؤتمر صحفي «إيران ترح,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_101
ادعاؤه هو: منعت سلطات مطار القاهرة رجل الأعمال المصري أحمد هيكل من السفر إلى السودان بسبب حكم قضائي.,"ثلاثة من صحفيي الجزيرة هم الاسترالي بيتر غريست والكندي من أصل مصري محمد فهمي والمصري باهر محمد في التاسع والعشرين من شهر ديسمبر/كانون أول الماضي. وتقول الجزيرة إن التهم الموجهة إليهم هي ""ضرب من العبث"". ومن ناحية أخرى منعت سلطات مطار برج العرب أحمد محمد مرسى نجل الرئيس المعزول محمد مرسى من السفر الى قطر. وأكدت مصادر بمطار برج العرب أن قوات الأمن قد منعت نجل مرسي من السفر نظراً لوجود إسمه علي قوائم الممنوعين من السفر. © 2026 بي بي سي. بي بي سي ليست مسؤولة عن محتوى المواقع الخارجية. سياستنا بخصوص الروابط الخارجية.",https://www.bbc.com/arabic/middleeast/2014/02/140204_egypt_qatar,Active,bbc.com,الدليل المقدم لا يذكر أي معلومات عن حالة أحمد هيكل أو وجود حكم قضائي ضده منعته سلطات مطار القاهرة من السفر إلى السودان. الدليل يتعلق بتقييد تنقل شخصين آخرين، أحدهما هو نجل الرئيس المعزول محمد مرسي، وليس أحمد هيكل.,2,credible,source_115
ادعاؤه هو: منعت سلطات مطار القاهرة رجل الأعمال المصري أحمد هيكل من السفر إلى السودان بسبب حكم قضائي.,"منعت سلطات مطار القاهرة رجل الأعمال المصري، أحمد هيكل، من السفر إلى السودان عبر طائرة خاصة.

وأحمد هيكل هو نجل الصحفي والكاتب المصري الراحل محمد حسنين هيكل، ويشغل منصب رئيس مجلس إدارة شركة القلعة القا",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_115
"ادعاء النص الرئيسي هو:
شدّدت وزيرة الداخلية الإيطالية، خلال هذا اللقاء، على التزام بلادها بمواصلة دعم تونس للحدّ من ظاهرة الهجرة، قصد الحدّ من ظاهرة الهجرة.","July 28, 2020 - سعيا منها للحد من الهجرة غير الشرعية إلى إيطاليا، التقت وزيرة الداخلية الإيطالية لوتشيانا لامورغيسي الاثنين الرئيس التونسي قيس سعيّد، نظرا إلى أن التونسيين يشكلون نحو 45 بالمئة من المهاجرين الذين وصلوا…",https://www.france24.com/ar/20200728-لقاء-بين-وزيرة-الداخلية-الإيطالية-والرئيس-التونسي-لبحث-تزايد-هجرة-التونسيين-غير-الشرعية,Broken/Blocked,france24.com,الدليل يقدم معلومات تشير إلى أن وزيرة الداخلية الإيطالية قد التقت بالرئيس التونسي قيس سعيّد، وذكرت السبب في هذا اللقاء وهو سعيا للحد من الهجرة غير الشرعية. هذه المعلومات توافق بشكل عام مع ادعاء النص الرئيسي الذي يشير إلى التزام إيطاليا بدعم تونس لمكافحة الهجرة غير الشرعية.,1,credible,source_18
"ادعاء النص الرئيسي هو:
شدّدت وزيرة الداخلية الإيطالية، خلال هذا اللقاء، على التزام بلادها بمواصلة دعم تونس للحدّ من ظاهرة الهجرة، قصد الحدّ من ظاهرة الهجرة.","وزيرة الداخلية الإيطالية تشدد على التزام بلادها بدعم تونس للحدّ من ظاهرة الهجرة

التقى رئيس الجمهورية قيس سعيّد، صباح اليوم الخميس بقصر قرطاج، كلا من وزيرة الداخلية الإيطالية، لوتشيانا لامورجيزي، والم",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_18
الاردن وصل لذروة الموجة الثانية من فيروس كورونا.,"لم تنتظر دول عديدة حول العالم نهاية فيروس كورونا حتى تخطط أو تبدأ رفع القيود التي فرضت لاحتوائه، ذلك أن عجلة الاقتصاد يجب أن تدور والإنتاج يجب أن يستأنف، لكن هناك قلقا يمكن التعبير عنه بكلمتين: الموجة الثانية. وسلطت وكالة ""بلومبرغ"" الأميركية، الجمعة، الضوء على المخاوف التي بدأت تخرج إلى العلن بشأن احتمال حدوث موجة ثانية من الفيروس، الذي أودى حتى الآن بحياة نحو 197 ألف إنسان حول العالم. وقالت إن ظهور كابوس كورونا مجددا قد يتسبب في وقوع إصابات ضخمة، الأمر الذي قد يغرق الأنظمة الصحية، ويعيد العالم إلى المربع الأول: الإغلاق. تحدث الأوبئة الواسعة الانتشار نتيجة مسببات لا",https://www.skynewsarabia.com/technology/1339457-الموجة-الثانية-كورونا-المختصر-المفيد,Active,skynewsarabia.com,الادعاء غير محدد بالضبط بما يتعلق بالأردن. الدليل يقدم تحليلًا عامًا عن المخاوف المتعلقة بحدوث موجة ثانية من فيروس كورونا على المستوى العالمي، لكنه لا يشير بشكل مباشر إلى الأردن ووصولها إلى ذروة الموجة الثانية.,0,credible,source_91
الاردن وصل لذروة الموجة الثانية من فيروس كورونا.,"سواليف _ قال عضو لجنة الأوبئة الوزير الأسبق عزمي محافظة إن الأردن وصل لذروة الموجة الثانية من فيروس كورونا، ومن المتوقع أن تبدأ أعداد الحالات بالانخفاض خلال الأسابيع المقبلة.

وأضاف في تصريحات للتلفزي",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_91
بايدن قد يكون آخر رئيس ديمقراطي مؤيد لإسرائيل.,فريدمان لـGPS: ربما نشاهد في جو بايدن.. آخر رئيس ديمقراطي مؤيد لإسرائيل.,https://arabic.cnn.com/middle-east/video/2021/05/31/v106641-exp-gps-tom-friedman-netanyahu-bennett-israel,Broken/Blocked,arabic.cnn.com,الدليل المقدم هو تقرير من قناة الأخبار الأمريكية GPS حيث قيل على لسان فريدمان أن بايدن قد يكون آخر رئيس ديمقراطي مؤيد لإسرائيل. هذا التصريح يقدم رأي شخصي محتمل وليس حقيقة مثبتة. عادة ما يتأرجح دعم الرؤساء الديمقراطيين لإسرائيل بين الدعم القوي والدعم المعتدل، لكن ذلك يتوقف على السياسات والظروف الحالية.,0,credible,source_115
بايدن قد يكون آخر رئيس ديمقراطي مؤيد لإسرائيل.,"قال فريدمان إنه أصبح من الضروري أن يتخذ بايدن خطوات عاجلة لإعادة تنشيط إمكانية حل الدولتين- جيتي

قال فريدمان إنه أصبح من الضروري أن يتخذ بايدن خطوات عاجلة لإعادة تنشيط إمكانية حل الدولتين- جيتي

توقع",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_115
