,ID,nli_label,claim,evidence
0,2420,1,المقترح هو دراسه الجدوي والاثار المترتبه علي تغيير موعد كاس العالم ليقام كل عامين بدلا من موعده الحالي كل اربع سنوات.,"وقال المسحل لبرنامج ""في المرمي"": المقترح هو دراسه جدوي واثار اقامه كاس العالم كل عامين، وسيتم التصويت علي دراسه ذلك من خلال الاداره التنفيذيه بالاتحاد الدولي لكره القدم، ويعرض في كونغرس فيفا العام المقبل."
1,644,0,الادعاء الرئيسي هو ان القوائم المشاركه في الانتخابات الفلسطينيه تتجه نحو استخدام شخصيات مهنيه اكاديميه وشخصيات من المجتمع المدني بدلا من القيادات التاريخيه السياسيه.,"يتمتع بشعبيه وقبول عند غالبيه التيارات""، وبدانا نري بعض العواصم والدوليه تفكر جديا به كخيار"". يؤكد اسامه حمدان انه في حال الافراج عن المعتقلين الفلسطينيين ومن بينهم البرغوثي فسيكون هناك ""حوارات علي الصعيد الوطني لبناء خيار وطني جامع""، لافتا ان حماس بهذا وناقشتها مع عدد من الفصائل الفلسطينيه مثل الجهاد الاسلامي والجبهه الشعبيه، وحظيت بـ ""موافقه عدد معتبر من الفصائل الفلسطينيه، ونواصل العمل لكي تكون قاعده لاجماع وطني فلسطيني"" ولم يذكر من التفاصيل. ولم يتسن لبي بي سي الحصول علي من ممثلين عن السلطه اذ لم نتوصل الي اي رد حول الموضوع"
2,286,2,برنامج حمدوك الحكومي الجديد قد يخلق استقطابا واسعا بين القوي السياسيه ويؤثر علي شعبيه قوي الحريه والتغيير.,توافق وطني بين مكونات مجتمع غني بتنوعه الثقافي والاثني والسياسي للعبور بالسودان وثورته في لحظه فارقه من تاريخه، ولعل اختيار شخصيه تكنوقراطيه تفتقر الي الحس السياسي لقياده فتره التحول الحاسمه في خضم ثوره شعبيه، امر لم يكن مناسبا. مع كل ذلك، سيظل حمدوك رمزا للتجربه الانتقاليه في السودان؛ مما سيجعل ارثه موضوع نقاش طويل في كتب التاريخ والسياسه.
3,292,0,اصبحنا اقرب لتحرير الاقصي بفضل المقاومه.,الاقصي»، اجتماعات منفصله مع من «الاطار التنسيقي» وقاده في فصائل شيعيه مسلحه. يقول الضابط: اننا جزء من ايران وقوتها في المنطقه. انتم اليد الضاربه لحمايه التشيع، وحان الوقت ليس لتحرير وحسب، بل لحكم دول المنطقه (...) انه عصركم الذهبي». وتابع قوله: «تحدث احد الايرانيين بحسره: لو طهران في موقع مثل الانبار (غرب العراق)، لحررنا القدس في ايام معدوده بعد ذلك جنون الحاضرين من العراقيين». محافظه لديها حدود مع سوريا، وتضم تمتد علي مساحه متراميه، وكانت علي مدار سنوات مسرحا لانشطه تنظيم «القاعده» و«داعش». ومع انتهاء عمليات التحرير عام 2017
4,1577,2,لن يشارك التيار الوطني الحر في حكومه سعد الحريري ولن يعطيها الثقه.,الذي له خصوصيه سنيه، ومن ثوابتنا ان نكون داعمين له». ويعتبر الخير ان «الحكومه اليوم اصبحت امرا واقعا، والحكم سيكون علي بيانها الوزاري وبرنامج عملها وقدرتها علي مواجهه التحديات وتلبيه تطلعات اللبنانيين للمرحله المقبله، مع التاكيد علي اننا في موقفنا هذا نحاول التوفيق بين ملاحظاتنا ودعمنا لعهد الرئيس جوزيف عون، وسعينا لان تكون هناك انطلاقه سليمه تترجم خطابي القسم والتكليف الي افعال تحقق مصلحه اللبنانيين، وتعيد وضع لبنان علي سكه التعافي والاصلاح والاعمار والانماء». ولو قرر «التيار الوطني الحر» واكثريه النواب السنه عدم منح الثقه بالفعل، الا ان تجاوز هذا الاستحقاق سيكون سهلا لان نصاب جلسه منح الثقه يتطلب اكثريه
5,1205,1,القضاء العراقي يصدر حكمين بالاعدام بحق قيادي في القاعده.,افاد مجلس القضاء الاعلي في العراق اليوم الاثنين بان محكمه جنايات صلاح الدين اصدرت حكمين بالاعدام بحق المفتي الشرعي لعصابات تنظيم «القاعده» في محافظه صلاح الدين (180 كم شمالي بغداد).وقال المركز الاعلامي لمجلس القضاء الاعلي، في بيان صحافي اليوم، ان «الارهابي اعترف في اقواله بعمله مفتيا شرعيا في عصابات (القاعده) الارهابيه ويعد من مؤسسيها في قضاء الشرقاط وجمعته عده لقاءات بالارهابي ابو مصعب الزرقاوي».واوضح ان «الارهابي اعترف باصداره فتاوي تفيد بقتل احد افراد الجيش والشرطه، اضافه الي اشتراكه بعده جرائم خطف وقتل واستهداف لقوات البيشمركه الكرديه، فضلا عن انه مسؤول شعبه المعلومات لولايه جنوب الموصل، وقام بشراء الاسلحه وتوزيع الرواتب
6,1925,1,الجثمان وصل الي ارض الوطن.,‘بعمق 10 الي 12 صفا، علي جوانب الطرق حيث سار موكب جنازه مانديلا في مدينه مثاثا، وهم يلوحون بالاعلام ويهزجون باغنيات تحيي مانديلا. مشاعر مختلطه سادت وجوه المودعين بين الدموع والابتسامات في وداع زعيمهم الوطني. وقد ابدي بعض الناس جزعهم واحباطهم من عدم توقف الموكب في مناطقهم، ليحظوا بفرصه القاء نظره الوداع علي جثمان مانديلا كما هي الحال في بريتوريا. ويقول مراسل بي بي سي ميلتون نكوسي من كونو انها لحظه هائله بالنسبه لسكان المنطقه ان يروا محررهم عائدا الي مسقط راسه. وستقيم قبائل الثيمبو تابينا وفق المراسم التقليديه، يشمل تقديم اغان وقصائد عن حياه مانديلا وتعدد مفاخره ومنجزاته، في
7,890,1,تم اعتقال المواطنين الاردنيين، الشريف حسن بن زيد وباسم ابراهيم عوض الله، واخرين لاسباب امنيه.,اوقفت السلطات الامنيه الاردنيه، امس السبت، عددا من الشخصيات البارزه، بينهم احد اقرباء العائله الحاكمه من الاشراف، هو الشريف حسن بن زيد، ورئيس الديوان الملكي الاسبق باسم عوض الله، وذلك لاسباب امنيه، حسب مصدر امني.وفي بيان مفاجئ، قال مصدر امني انه بعد متابعه امنيه حثيثه تم اعتقال المواطنين الاردنيين الشريف حسن بن زيد، وباسم ابراهيم عوض الله واخرين لاسباب امنيه. واضاف المصدر ان التحقيق في الموضوع جار.وشكل الخبر صدمه للاوساط السياسيه، في وقت لم يسبق فيه توقيف احد من الاشراف في الاردن.يشار الي ان الشريف حسن بن زيد ليس من الاشراف الناشطين في الحياه العامه في البلاد، كما ان عوض
8,2932,1,الجيش الجزائري حذر المتعطشين للسلطه من المساس بامن البلاد.,"Jun 29, 2021 · حذر رئيس اركان الجيش الجزائري، الثلاثاء، المتعطشين للسلطه من المساس بامن بلاده، مضيفا ""ليعلم هؤلاء ان الرد سيكون قاسيا وحاسما"". المدينه نيوز :- حذر رئيس اركان الجيش الجزائري، الثلاثاء، المتعطشين للسلطه من المساس بامن بلاده، مضيفا ""ليعلم هؤلاء ان الرد سيكون قاسيا وحاسما"". اكد الفريق اول السعيد شنقريحه، رئيس اركان الجيش الجزائري، ان “تحقيق الامن والاستقرار هو المفتاح الذي يمكن الجزائر من الحصول علي المكانه التي تتطلع اليها بين الامم”. واكد ان الجيش الجزائري مطالب اكثر من اي وقت مضي، بمضاعفه الاصرار والعزم علي بذل المزيد من الجهود، خاصه في ظل الظروف الامنيه غير المستقره التي"
9,1861,1,المراه التي غيرت حياتي رحلت اليوم.,"Feb 7, 2021 · وكتبت هند صبري في رثاء الراحله التلاتلي: ""المراه التي غيرت حياتي رحلت اليوم..المراه التي اكتشفتني ورات ما لم يره غيرها، رحلت اليوم وطوت صفحه لم اكن جاهزه لطيها..."""
10,1973,2,لن تنقذ الاقتصاد السوداني.,الماشيه تنقذ الاقتصاد السوداني. l 11 ديسمبر 2012 - 01:38 بتوقيت ابوظبي. ابوظبي - سكاي نيوز عربيه.
11,237,0,Madness of Mazen Ghnaim's Shift to Abbas' List.,يبدو مازن غنايم لم يعد )سابق) كصفه ترافق اينما تم التطرق اليه في مناسبه سياسيه كانت او اجتماعيه. رئيس (سابق) وهو رئيس لجنه السلطات ال محليه (سابفا). وقد تكون هذه الكلم
12,332,1,زياده ملحوظه في اعداد المهاجرين السريين القادمين من الجزائر.,مهاجر ابعدتهم بسبب اوضاعهم غير القانونيه، مؤكده ان عدد الجزائريين الذي اصدرت بحقهم قرارات بالابعاد ازداد بنسبه 36 في المائه منذ 2022 (انتقل من 1882 الي 2562). وكانت قنصليات الجزائر بفرنسا قد تحفظت عام 2022 علي طلب من الداخليه الفرنسيه اصدار تصاريح قنصليه لمئات المهاجرين الجزائريين غير النظاميين، تمهيدا لطردهم من البلاد. وفي رد فعل علي ذلك، قلصت فرنسا حصه التاشيرات للجزائريين الي النصف. الطرق التي تسلكها قوارب المهاجرين انطلاقا من سواحل شرق الجزائر باتجاه جزر البليار (منظمه كاميناندو فرونتيراس) وتتعامل السلطات الجزائريه بحساسيه شديده مع «قضيه الهجره السريه»، علي اساس ان التركيز معها «يصرف النظر عن اشياء ايجابيه كثيره
13,1525,1,"رفعت اليونان قيود الحجر الصحي للمسافرين من الاتحاد الاوروبي، والولايات المتحده، والمملكه المتحده، واسرائيل، وصربيا، والامارات العربيه المتحده لاولئك الذين تلقوا التطعيم، او الذين لديهم نتيجه سلبيه لاختبار ""PCR"" اجري خلال 72 ساعه قبل الوصول.","رفعت اليونان قيود الحجر الصحي الاثنين للمسافرين من الاتحاد الاوروبي، والولايات المتحده، والمملكه المتحده، واسرائيل، وصربيا، والامارات العربيه المتحده الذين تلقوا لقاح فيروس كورونا ""كوفيد-19""، او الذين لديهم نتيجه اختبار ""PCR"" سلبيه."
14,94,1,"تم التعدي علي مدرسه صفد الابتدائيه التابعه لوكاله ""اونروا"" في مخيم عين الحلوه بمدينه صيدا.","افاد مصدر لـ""بوابه اللاجئين الفلسطينيين"" انه تم التعدي علي مدرسه صفد الابتدائيه التابعه لوكاله ""اونروا"" في مخيم عين الحلوه بمدينه صيدا جنوب لبنان، امس الثلاثاء 9 اذار/مارس، من قبل 3 شبان من منطقه"
15,706,0,المشاريع المتعلقه بمونديال 2022 تحتاج الي اعاده جدوله زمنيه لضمان الانتهاء منها في النصف الاول من السنه القادمه.,"علي الوصول الي اماكن العباده الاخري في تشكل انتهاكا صارخا للقانون الدولي الانساني، وللوضع التاريخي والقانوني القائم، ولمبدا حريه الوصول غير المقيد الي اماكن العباده"". ودعا البيان المجتمع الدولي الي اتخاذ موقف حازم يلزم اسرائيل بوقف انتهاكاتها المستمره وممارساتها غير القانونيه بحق الاسلاميه والمسيحيه القدس، وانتهاكاتها لحرمه هذه الاماكن المقدسه. هذه الصفحه علي محتوي من موقع X. موافقتكم مطلوبه قبل عرض اي لانها قد تتضمن ملفات ارتباط (كوكيز) وغيرها من الادوات التقنيه. قد تفضلون الاطلاع علي سياسه ملفات الخاصه بموقع الخصوصيه قبل الموافقه. لعرض المحتوي، اختر ""موافقه واكمال"" وكاله رويترز"
16,418,0,الاتحاد الجهوي للصناعه والتجاره يتبني قرار مواصله العمل الي يوم عيد الفطر.,ويمتنعون عن الطعام والشراب من الفجر حتي غروب الشمس. وبما ان الاشهر الاسلاميه تتبع التقويم القمري - الهجري -، فان ذلك يعني ان البعض سيصوم لاوقات اطول من غيرهم وفي فصول مختلفه. ويصادف عيد الفطر اليوم الاول من الشهر العاشر في السنه القمريه (شوال)، ولكن يحصل الجدل حول موعد دخول الشهر الهجري الجديد لاختلاف المنهجيه التي تتبعها الدول المسلمه لرؤيه الهلال. وبينما تتبع بعض الدول تقويما قمريا ثابتا يعتمد علي حسابات الفلك ولا تعتمد بالضروره علي رؤيه الهلال راي العين، تستخدم اخري الحسابات الفلكيه للاعلان عن ولاده هلال جديد، غير ان غالبيه المسلمين يحتفلون ببدايه الشهر الجديد فقط بعد رؤيه
